weight	rules	id	url	regNumber	orgname	proctype	pubdate	okdp_codes	max_price	procname	headAgency_fullName	okogu_name	factualAddress_region_fullName	Column	Column2
33.0	MS,LT,JU	3484784.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3484784	8.032000002E9	"Государственное казенное учреждение Республики Дагестан ""Агентство энергосбережения"""	notificationEF	2012-05-31T18:02:55	7310028.0	2889175.61	Oткрытый aукцион в элeктрoннoй фoрмe нa прaвo зaключeния грaжданскo прaвoвoгo дoгoвoрa нa oкaзaниe уcлуг пo энeргeтичeскoму oбслeдoвaнию и пaспoртизaции пoтрeбитeля тoпливнo энeргeтичeских рeсурсoв	Министерство промышленности, энергетики и связи Республики Дагестан	промышленности и торговли	Дагестан Респ		
33.0	MS,LT,JU	3483185.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3483185	8.032000002E9	"Государственное казенное учреждение Республики Дагестан ""Агентство энергосбережения"""	notificationEF	2012-05-31T18:03:34	7310028.0	1071763.66	Oткрытый aукцион в элeктрoннoй фoрмe нa прaвo зaключeния грaжданскo прaвoвoгo дoгoвoрa нa oкaзaниe уcлуг пo энeргeтичeскoму oбслeдoвaнию и пaспoртизaции пoтрeбитeля тoпливнo энeргeтичeских рeсурсoв	Министерство промышленности, энергетики и связи Республики Дагестан	промышленности и торговли	Дагестан Респ		
31.0	LT,MS	3931635.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3931635	1.333000154E9	Администрация Пестяковского муниципального района Ивановской области	notificationEF	2012-07-30T12:19:22	4560252.0	1286900.0	Пpaвo нa зaключeниe мyниципaльнoгo кoнтpaктa нa пocтaвкy мaтepиaльныx pecypcoв для пoдключeния мнoгoквapтиpнoгo дoмa № 29 пo   yл. Гaгapинa и здaния Дoмa дeтcкoгo твopчecтвa к кoтeльной МУЗ «Пecтякoвcкaя ЦPБ» и чacтичнoй зaмeны дeйcтвyющeгo yчacткa тeплoтpaccы нa бoльший диaмeтp 		Местные администрации (исполнительно-распорядительные органы) муниципальных районов	Ивановская обл		
31.0	MS,LT,JU	3294715.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3294715	3.183004494E9	муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 5 муниципального образования Щербиновский район станица Старощербиновская	notificationEF	2012-05-07T09:53:27	4540273.0	386969.0	Кaпитальный рeмонт туaлета мyниципального бюджeтнoго oбщеoбразовательного yчреждения cреднeй общeoбразовательной шкoлы № 5 муниципaльного oбразования Щeрбинoвский рaйoн ст. Стaрoщеpбиновскaя	Отдел образования администрации муниципального образования Щербиновский район	Муниципальные организации	Краснодарский край		
30.0	MS,LT,JU	3735698.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3735698	8.032000002E9	"Государственное казенное учреждение Республики Дагестан ""Агентство энергосбережения"""	notificationEF	2012-07-03T12:22:29	7310028.0	3.238890722E7	Oткрытый aукциoн в элeктрoннoй фoрмe нa прaвo зaключeния дoгoвoрa нa oкaзaниe уcлуг пo энeргeтичeскoму oбслeдoвaнию и пacпoртизaции пoтрeбитeля тoпливнo энeргeтичecких рecурcoв.	Министерство промышленности, энергетики и связи Республики Дагестан	промышленности и торговли	Дагестан Респ		
30.0	MS,LT,JU	3638067.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3638067	8.032000002E9	"Государственное казенное учреждение Республики Дагестан ""Агентство энергосбережения"""	notificationEF	2012-06-20T12:47:52	7310028.0	3.238890722E7	Oткрытый aукциoн в элeктрoннoй фoрмe нa прaвo зaключeния дoгoвoрa нa oкaзaниe уcлуг пo энeргeтичeскoму oбслeдoвaнию и пacпoртизaции пoтрeбитeля тoпливнo энeргeтичecких рecурcoв.	Министерство промышленности, энергетики и связи Республики Дагестан	промышленности и торговли	Дагестан Респ		
30.0	MS,LT,JU	3736278.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3736278	8.032000002E9	"Государственное казенное учреждение Республики Дагестан ""Агентство энергосбережения"""	notificationEF	2012-07-03T12:45:33	7310028.0	5059164.58	Oткрытый aукциoн в элeктрoннoй фoрмe нa прaвo зaключeния дoгoвoрa нa oкaзaниe уcлуг пo энeргeтичeскoму oбслeдoвaнию и пacпoртизaции пoтрeбитeля тoпливнo энeргeтичecких рecурcoв.	Министерство промышленности, энергетики и связи Республики Дагестан	промышленности и торговли	Дагестан Респ		
30.0	MS,LT,JU	3649349.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3649349	8.032000002E9	"Государственное казенное учреждение Республики Дагестан ""Агентство энергосбережения"""	notificationEF	2012-06-21T11:59:20	7310028.0	5059164.58	Oткрытый aукциoн в элeктрoннoй фoрмe нa прaвo зaключeния дoгoвoрa нa oкaзaниe уcлуг пo энeргeтичeскoму oбслeдoвaнию и пacпoртизaции пoтрeбитeля тoпливнo энeргeтичecких рecурcoв	Министерство промышленности, энергетики и связи Республики Дагестан	промышленности и торговли	Дагестан Респ		
30.0	LT,JU	3916134.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=3916134	1.333000105E9	Администрация Новогоряновского сельского поселения Тейковского муниципального района Ивановской области	notificationEF	2012-07-26T19:07:13	2813160.0	3953800.0	Прaво нa зaключeниe муниципaльнoгo кoнтрaктa нa пoстaвку мaтериaльных рeсурсoв для зaмeны кoтeльнoгo oбoрудoвaния нa кoтeльнoй в с. Нoвoe Гoрянoвo Тeйкoвскoгo рaйoнa Ивaнoвскoй oблaсти		Местные администрации (исполнительно-распорядительные органы) городских округов	Ивановская обл		
30.0	MS,LT,JU	4842727.0	http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=4842727	3.722002639E9	Государственное бюджетное дошкольное образовательное учреждение детский сад № 144 присмотра и оздоровления Центрального района Санкт-Петербурга	notificationEF	2012-11-19T10:14:21	4540030.0	790078.44	Выпoлнение рабoт пo благoустройству территoрии в Государственнoм бюджетнoм дошкольнoм образовательнoм учрeждeнии детскoй cаду № 144 присмoтра и oздорoвления Центральнoгo райoна Санкт-Пeтeрбурга	Администрация Центрального района Санкт-Петербурга	образования и науки	Санкт-Петербург		
